center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[ 19.   7.  72.   9.  14.  51.  23. 119.],16,19,0,['ORG'],175,1,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['a.m.\\n\\n\\n\\nLOCATION']
[20.  7. 72. 10. 14. 51. 23.  1.],17,20,1,['PERSON'],175,1,"['THE HONORABLE TYRIE W. BOYER\\n\\n\\n\\nDATE TAKEN:    Friday, September 16, 2016\\n\\n\\n\\nTIME:                      8:15 a.m. to 10:40 a.m.\\n\\n\\n\\nLOCATION:      ']",[72],['     ']
[21.  3. 95.  3. 26. 12. 11. 50.],18,21,1,['GPE'],175,2,['Duval County Courthouse\\n\\n\\n\\nCourtroom 610\\n\\n\\n\\n501'],[95],['Duval County']
[21.  3. 95.  3. 26. 12. 11. 50.],18,22,1,['CARDINAL'],175,2,['Duval County Courthouse\\n\\n\\n\\nCourtroom 610\\n\\n\\n\\n501'],[95],['610\\n\\n\\n\\n501']
[23.  3. 95.  1. 26. 12. 11.  9.],19,23,0,['DATE'],175,2,['Duval County Courthouse\\n\\n\\n\\nCourtroom 610\\n\\n\\n\\n501'],[95],"[""('troom', '610')""]"
[23.  3. 95.  1. 26. 12. 11.  9.],19,24,0,['DATE'],175,2,['Duval County Courthouse\\n\\n\\n\\nCourtroom 610\\n\\n\\n\\n501'],[95],"[""('troom', '610')""]"
[ 25.  11.  99.   3.  29.  65.  54. 117.],20,25,0,['GPE'],175,2,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],['West Adams Street\\n\\n\\n\\nJacksonville']
[ 25.  11.  99.   3.  29.  65.  54. 117.],20,27,1,['PERSON'],175,2,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],['Terry T. Hurley']
[26. 11. 99. 10. 29. 65. 54. 65.],21,26,0,['PERSON'],175,1,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],['Florida 32202\\n\\n\\n\\nAs']
[28. 11. 99.  9. 29. 65. 54. 99.],22,28,1,['ORG'],175,1,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],['RPR']
[29. 11. 99.  9. 29. 65. 54. 88.],23,29,0,['ORG'],175,1,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],['Notary Public\\n\\n\\n\\nAPPEARANCES']
[31. 11. 99.  1. 29. 65. 54.  4.],24,30,0,['DATE'],175,2,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],"[""('ida', '32202')""]"
[31. 11. 99.  1. 29. 65. 54.  4.],24,31,0,['DATE'],175,2,"['West Adams Street\\n\\n\\n\\nJacksonville, Florida 32202\\n\\n\\n\\nAs reported by: Terry T. Hurley, RPR and a Notary Public\\n\\n\\n\\nAPPEARANCES']",[99],"[""('ida', '32202')""]"
[ 32.   1. 117.   9.  37.  40.  18.  44.],25,32,0,['ORG'],175,1,['OF COUNSEL\\n\\n\\n\\nOn'],[117],['COUNSEL\\n\\n\\n\\nOn']
[ 33.  21. 119.   9.  44.  72.  27.  91.],26,33,1,['ORG'],175,1,"['behalf of Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\\n\\n\\n\\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\\n\\n\\n\\nMorgan & Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville, FL  32202\\n\\n\\n\\nCELENE HUMPHRIES, Esguire Brannock & Humphries\\n\\n\\n\\n1111 West Cass Street,']",[119],['PRYSOCK']
[ 35.  21. 119.  10.  44.  72.  27.  55.],27,34,1,['ORG'],175,4,"['behalf of Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\\n\\n\\n\\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\\n\\n\\n\\nMorgan & Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville, FL  32202\\n\\n\\n\\nCELENE HUMPHRIES, Esguire Brannock & Humphries\\n\\n\\n\\n1111 West Cass Street,']",[119],['ESQUIRE KEITH MITNIK']
[ 35.  21. 119.  10.  44.  72.  27.  55.],27,35,1,['PERSON'],175,4,"['behalf of Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\\n\\n\\n\\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\\n\\n\\n\\nMorgan & Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville, FL  32202\\n\\n\\n\\nCELENE HUMPHRIES, Esguire Brannock & Humphries\\n\\n\\n\\n1111 West Cass Street,']",[119],['ESQUIRE\\n\\n\\n\\nKATHERINE MASSA']
[ 35.  21. 119.  10.  44.  72.  27.  55.],27,36,2,['PERSON'],175,4,"['behalf of Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\\n\\n\\n\\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\\n\\n\\n\\nMorgan & Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville, FL  32202\\n\\n\\n\\nCELENE HUMPHRIES, Esguire Brannock & Humphries\\n\\n\\n\\n1111 West Cass Street,']",[119],['ESQUIRE ANTONIO LUCIANO']
[ 35.  21. 119.  10.  44.  72.  27.  55.],27,40,3,['ORG'],175,4,"['behalf of Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\\n\\n\\n\\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\\n\\n\\n\\nMorgan & Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville, FL  32202\\n\\n\\n\\nCELENE HUMPHRIES, Esguire Brannock & Humphries\\n\\n\\n\\n1111 West Cass Street,']",[119],['Esguire Brannock &']
[ 37.  21. 119.   3.  44.  72.  27.  82.],28,37,0,['GPE'],175,1,"['behalf of Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\\n\\n\\n\\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\\n\\n\\n\\nMorgan & Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville, FL  32202\\n\\n\\n\\nCELENE HUMPHRIES, Esguire Brannock & Humphries\\n\\n\\n\\n1111 West Cass Street,']",[119],['Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville']
[ 38.  21. 119.   3.  44.  72.  27.  62.],29,38,1,['GPE'],175,1,"['behalf of Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\\n\\n\\n\\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\\n\\n\\n\\nMorgan & Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville, FL  32202\\n\\n\\n\\nCELENE HUMPHRIES, Esguire Brannock & Humphries\\n\\n\\n\\n1111 West Cass Street,']",[119],['FL']
[ 39.  21. 119.  10.  44.  72.  27.  32.],30,39,0,['PERSON'],175,1,"['behalf of Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\\n\\n\\n\\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\\n\\n\\n\\nMorgan & Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville, FL  32202\\n\\n\\n\\nCELENE HUMPHRIES, Esguire Brannock & Humphries\\n\\n\\n\\n1111 West Cass Street,']",[119],['32202\\n\\n\\n\\nCELENE HUMPHRIES']
[ 41.  21. 119.   2.  44.  72.  27. 118.],31,41,1,['FAC'],175,1,"['behalf of Plaintiff:\\n\\n\\n\\nGREGORY PRYSOCK, ESQUIRE KEITH MITNIK, ESQUIRE\\n\\n\\n\\nKATHERINE MASSA, ESQUIRE ANTONIO LUCIANO, ESQUIRE\\n\\n\\n\\nMorgan & Morgan\\n\\n\\n\\nSouth Laura Street\\n\\n\\n\\nJacksonville, FL  32202\\n\\n\\n\\nCELENE HUMPHRIES, Esguire Brannock & Humphries\\n\\n\\n\\n1111 West Cass Street,']",[119],['West Cass Street']
[ 42.  35. 154.   0.   4.  50.  22.  20.],32,42,1,['CARDINAL'],175,1,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['200']
[ 43.  35. 154.   3.   4.  50.  22. 112.],33,43,1,['GPE'],175,1,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['Tampa']
[ 44.  35. 154.   3.   4.  50.  22.  64.],34,44,1,['GPE'],175,2,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['Florida']
[ 44.  35. 154.   3.   4.  50.  22.  64.],34,52,2,['GPE'],175,2,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['Georgia']
[ 48.  35. 154.  10.   4.  50.  22.  56.],35,47,0,['PERSON'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER']
[ 48.  35. 154.  10.   4.  50.  22.  56.],35,48,0,['PERSON'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN']
[ 48.  35. 154.  10.   4.  50.  22.  56.],35,49,1,['ORG'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['ESQUIRE Jones']
[ 48.  35. 154.  10.   4.  50.  22.  56.],35,56,2,['PERSON'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['Esguire Jones']
[ 54.  35. 154.   0.   4.  50.  22.  29.],36,45,0,['CARDINAL'],175,3,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['33606\\n\\n\\n\\nOn']
[ 54.  35. 154.   0.   4.  50.  22.  29.],36,53,1,['MONEY'],175,3,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['30309']
[ 54.  35. 154.   0.   4.  50.  22.  29.],36,54,1,['CARDINAL'],175,3,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['3053\\n\\n\\n\\nMARK']
[ 55.  35. 154.   7.   4.  50.  22.  97.],37,46,0,['PERSON'],175,3,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER']
[ 55.  35. 154.   7.   4.  50.  22.  97.],37,50,1,['FAC'],175,3,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['Peachtree Street']
[ 55.  35. 154.   7.   4.  50.  22.  97.],37,55,2,['NORP'],175,3,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['R.']
[ 57.  35. 154.  10.   4.  50.  22. 115.],38,57,0,['PERSON'],175,1,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['Versey Street\\n\\n\\n\\nNew York']
[ 58.  35. 154.   3.   4.  50.  22.  86.],39,51,0,['FAC'],175,2,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['N.E. Suite 800\\n\\n\\n\\nAtlanta']
[ 58.  35. 154.   3.   4.  50.  22.  86.],39,58,1,['GPE'],175,2,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['New York']
[ 61.  35. 154.  11.   4.  50.  22.  26.],40,60,1,['PHONE_NUMBER'],175,4,"['Suite 200 Tampa, Florida  33606\\n\\n\\n\\nOn behalf of R. J. Reynolds:\\n\\n\\n\\nJOHN WALKER, ESQUIRE\\n\\n\\n\\nJENNIFER L. WEIZENECKER, ESQUIRE\\n\\n\\n\\nMICHAEL C. MCLAUGHLIN, ESQUIRE Jones Day\\n\\n\\n\\n1420 Peachtree Street, N.E. Suite 800\\n\\n\\n\\nAtlanta, Georgia  30309-3053\\n\\n\\n\\nMARK R. SEIDEN, Esguire Jones Day\\n\\n\\n\\n250 Versey Street\\n\\n\\n\\nNew York, New York  10281-1047']",[154],['309-3053']
