center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,raw_sentence,sentence_position,text_value
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,2,1,['WORK_OF_ART'],16,36,['ENOLE PROGENY\\n\\nTOBACCO LITIGATION        Case.'],[19],['ENOLE PROGENY\\n\\nTOBACCO LITIGATION        Case']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,4,2,['SUSPICIOUS_NUMBER'],16,36,['No.: 2008-CA-15000\\n\\nDIVISION:  Tobacco Pertains'],[25],['rt']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,5,3,['SUSPICIOUS_NUMBER'],16,36,['No.: 2008-CA-15000\\n\\nDIVISION:  Tobacco Pertains'],[25],['rt']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,6,3,['ORG'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],"['Cases,\\n\\nParticularly']"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,7,3,['PERSON'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['Cooper Stansbury\\n\\nRobert Sury']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,8,4,['WORK_OF_ART'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['Personal        VOLUME II']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,9,5,['ORG'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['the       Pages']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,12,6,['PERSON'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['William Sury']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,13,7,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['rt']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,14,8,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['rl']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,15,9,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['r ']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,16,10,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['ry']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,17,11,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['rt']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,18,12,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['ry']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,19,13,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['rs']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,20,14,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['re']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,21,15,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['ry']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,22,16,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['rt']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,23,17,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['rl']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,24,18,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['r ']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,25,19,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['ry']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,26,20,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['rt']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,27,21,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['ry']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,28,22,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['rs']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,29,23,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['re']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,30,24,['SUSPICIOUS_NUMBER'],16,36,"['To:  All Cases,\\n\\nParticularly including Cooper Stansbury\\n\\nRobert Sury, as Personal        VOLUME II Representative of the       Pages 264-509 Estate of William Sury, Case']",[33],['ry']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,32,25,['PERSON'],16,36,"['2007-CA-11175-IXXX-MA Patricia Bowman, as Personal Representative of the Estate of Michael Bowman Case']",[64],['Patricia Bowman']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,33,26,['ORG'],16,36,"['2007-CA-11175-IXXX-MA Patricia Bowman, as Personal Representative of the Estate of Michael Bowman Case']",[64],['Personal Representative of the Estate']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,34,27,['PERSON'],16,36,"['2007-CA-11175-IXXX-MA Patricia Bowman, as Personal Representative of the Estate of Michael Bowman Case']",[64],['Michael Bowman']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,35,28,['SUSPICIOUS_NUMBER'],16,36,"['2007-CA-11175-IXXX-MA Patricia Bowman, as Personal Representative of the Estate of Michael Bowman Case']",[64],['ri']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,36,29,['SUSPICIOUS_NUMBER'],16,36,"['2007-CA-11175-IXXX-MA Patricia Bowman, as Personal Representative of the Estate of Michael Bowman Case']",[64],['rs']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,37,30,['SUSPICIOUS_NUMBER'],16,36,"['2007-CA-11175-IXXX-MA Patricia Bowman, as Personal Representative of the Estate of Michael Bowman Case']",[64],['re']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,38,31,['SUSPICIOUS_NUMBER'],16,36,"['2007-CA-11175-IXXX-MA Patricia Bowman, as Personal Representative of the Estate of Michael Bowman Case']",[64],['ri']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,39,32,['SUSPICIOUS_NUMBER'],16,36,"['2007-CA-11175-IXXX-MA Patricia Bowman, as Personal Representative of the Estate of Michael Bowman Case']",[64],['rs']
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,40,33,['SUSPICIOUS_NUMBER'],16,36,"['2007-CA-11175-IXXX-MA Patricia Bowman, as Personal Representative of the Estate of Michael Bowman Case']",[64],['re']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,42,1,['GPE'],16,102,"['____/\\n\\nWinston-Salem, North Carolina']",[121],['Salem']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,43,2,['GPE'],16,102,"['____/\\n\\nWinston-Salem, North Carolina']",[121],['North Carolina']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,44,3,['SUSPICIOUS_NUMBER'],16,102,"['____/\\n\\nWinston-Salem, North Carolina']",[121],['rt']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,45,4,['SUSPICIOUS_NUMBER'],16,102,"['____/\\n\\nWinston-Salem, North Carolina']",[121],['ro']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,46,5,['SUSPICIOUS_NUMBER'],16,102,"['____/\\n\\nWinston-Salem, North Carolina']",[121],['rt']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,47,6,['SUSPICIOUS_NUMBER'],16,102,"['____/\\n\\nWinston-Salem, North Carolina']",[121],['ro']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,48,7,['DATE'],16,102,"['Friday, July 22, 2011 Videotaped Deposition of DR.']",[131],"['Friday, July 22, 2011']"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,49,8,['SUSPICIOUS_NUMBER'],16,102,"['Friday, July 22, 2011 Videotaped Deposition of DR.']",[131],['ri']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,50,9,['SUSPICIOUS_NUMBER'],16,102,"['Friday, July 22, 2011 Videotaped Deposition of DR.']",[131],['ri']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,51,10,['PERSON'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['CHRISTOPHER J. COOK']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,52,11,['LAW'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['the Amended Notice of Deposition']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,53,12,['PERSON'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['DEBRA D. BOWDEN']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,54,13,['PERSON'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['Certified Realtime']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,55,14,['ORG'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['Notary Public']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,56,15,['GPE'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['North Carolina']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,57,16,['ORG'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['the Law Offices']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,58,17,['ORG'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['Womble Carlyle Sandridge & Rice']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,59,18,['ORDINAL'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['4th']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,60,19,['GPE'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['Winston']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,61,20,['GPE'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['Salem']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,62,21,['GPE'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['North Carolina']
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,63,22,['TIME'],16,102,"[""CHRISTOPHER J. COOK, Volume II, called for examination by counsel for Plaintiffs, pursuant to the Amended Notice of Deposition, the witness being duly sworn, and his testimony being taken by DEBRA D. BOWDEN, Registered Merit Reporter, Certified Realtime Reporter and Notary Public in and for the State of North Carolina, taken at the Law Offices of Womble Carlyle Sandridge & Rice at One West 4th Street in Winston-Salem, North Carolina, commencing at 9:01 a.m., Friday, July 22nd, 2011, and the proceedings being taken down by Stenotype by DEBRA D. BOWDEN, RMR, CRR, and transcribed personally by her.\\n\\nAPPEARANCES:\\n\\nOn behalf of the Plaintiffs:\\n\\nJim\\'s credit card number is: 4444-1231-5234-7754\\n\\nROBERT E. SHIELDS, ESQUIRE\\n\\nDoffermyre Shields Canfield & Knowles, LLC\\n\\n1355 Peachtree Street\\n\\nSuite 1600\\n\\nAtlanta, Georgia""]",[142],['9:01 a.m.']
