center,cluster,cluster_member,cumulative_cluster_score,entity_type,number_of_clusters,number_of_members,sentence_position,text_value
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,1,1,"1    PERSON
Name: entity_type, dtype: object",16,9,"1    12
Name: sentence_position, dtype: int64","1     
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,3,1,"3    CARDINAL
Name: entity_type, dtype: object",16,9,"3    25
Name: sentence_position, dtype: int64","3    2008-CA-15000\n\nDIVISION
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,10,2,"10    CARDINAL
Name: entity_type, dtype: object",16,9,"10    33
Name: sentence_position, dtype: int64","10    264
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,11,3,"11    CARDINAL
Name: entity_type, dtype: object",16,9,"11    33
Name: sentence_position, dtype: int64","11    509
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,31,4,"31    CARDINAL
Name: entity_type, dtype: object",16,9,"31    64
Name: sentence_position, dtype: int64","31    2007-CA-11175-IXXX
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,41,5,"41    CARDINAL
Name: entity_type, dtype: object",16,9,"41    82
Name: sentence_position, dtype: int64","41    2007-CA-11175-AXXX
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,65,6,"65    DATE
Name: entity_type, dtype: object",16,9,"65    142
Name: sentence_position, dtype: int64","65    2011
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,76,7,"76    PHONE_NUMBER
Name: entity_type, dtype: object",16,9,"76    142
Name: sentence_position, dtype: int64","76    234-7754
Name: text_value, dtype: object"
[ 3.  1. 25.  0.  5. 46. 33. 35.],0,78,7,"78    PHONE_NUMBER
Name: entity_type, dtype: object",16,9,"78    142
Name: sentence_position, dtype: int64","78    234 7754
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,0,1,"0    ORG
Name: entity_type, dtype: object",16,36,"0    12
Name: sentence_position, dtype: int64","0    FLORIDA CIVIL DIVISION
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,2,1,"2    WORK_OF_ART
Name: entity_type, dtype: object",16,36,"2    19
Name: sentence_position, dtype: int64","2    ENOLE PROGENY\n\nTOBACCO LITIGATION        Case
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,4,2,"4    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"4    25
Name: sentence_position, dtype: int64","4    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,5,3,"5    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"5    25
Name: sentence_position, dtype: int64","5    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,6,3,"6    ORG
Name: entity_type, dtype: object",16,36,"6    33
Name: sentence_position, dtype: int64","6    Cases,\n\nParticularly
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,7,3,"7    PERSON
Name: entity_type, dtype: object",16,36,"7    33
Name: sentence_position, dtype: int64","7    Cooper Stansbury\n\nRobert Sury
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,8,4,"8    WORK_OF_ART
Name: entity_type, dtype: object",16,36,"8    33
Name: sentence_position, dtype: int64","8    Personal        VOLUME II
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,9,5,"9    ORG
Name: entity_type, dtype: object",16,36,"9    33
Name: sentence_position, dtype: int64","9    the       Pages
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,12,6,"12    PERSON
Name: entity_type, dtype: object",16,36,"12    33
Name: sentence_position, dtype: int64","12    William Sury
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,13,7,"13    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"13    33
Name: sentence_position, dtype: int64","13    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,14,8,"14    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"14    33
Name: sentence_position, dtype: int64","14    rl
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,15,9,"15    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"15    33
Name: sentence_position, dtype: int64","15    r 
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,16,10,"16    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"16    33
Name: sentence_position, dtype: int64","16    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,17,11,"17    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"17    33
Name: sentence_position, dtype: int64","17    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,18,12,"18    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"18    33
Name: sentence_position, dtype: int64","18    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,19,13,"19    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"19    33
Name: sentence_position, dtype: int64","19    rs
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,20,14,"20    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"20    33
Name: sentence_position, dtype: int64","20    re
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,21,15,"21    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"21    33
Name: sentence_position, dtype: int64","21    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,22,16,"22    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"22    33
Name: sentence_position, dtype: int64","22    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,23,17,"23    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"23    33
Name: sentence_position, dtype: int64","23    rl
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,24,18,"24    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"24    33
Name: sentence_position, dtype: int64","24    r 
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,25,19,"25    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"25    33
Name: sentence_position, dtype: int64","25    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,26,20,"26    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"26    33
Name: sentence_position, dtype: int64","26    rt
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,27,21,"27    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"27    33
Name: sentence_position, dtype: int64","27    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,28,22,"28    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"28    33
Name: sentence_position, dtype: int64","28    rs
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,29,23,"29    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"29    33
Name: sentence_position, dtype: int64","29    re
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,30,24,"30    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"30    33
Name: sentence_position, dtype: int64","30    ry
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,32,25,"32    PERSON
Name: entity_type, dtype: object",16,36,"32    64
Name: sentence_position, dtype: int64","32    Patricia Bowman
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,33,26,"33    ORG
Name: entity_type, dtype: object",16,36,"33    64
Name: sentence_position, dtype: int64","33    Personal Representative of the Estate
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,34,27,"34    PERSON
Name: entity_type, dtype: object",16,36,"34    64
Name: sentence_position, dtype: int64","34    Michael Bowman
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,35,28,"35    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"35    64
Name: sentence_position, dtype: int64","35    ri
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,36,29,"36    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"36    64
Name: sentence_position, dtype: int64","36    rs
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,37,30,"37    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"37    64
Name: sentence_position, dtype: int64","37    re
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,38,31,"38    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"38    64
Name: sentence_position, dtype: int64","38    ri
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,39,32,"39    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"39    64
Name: sentence_position, dtype: int64","39    rs
Name: text_value, dtype: object"
[ 24.  13.  33.  15.  34.  55.  37. 197.],1,40,33,"40    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,36,"40    64
Name: sentence_position, dtype: int64","40    re
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,42,1,"42    GPE
Name: entity_type, dtype: object",16,102,"42    121
Name: sentence_position, dtype: int64","42    Salem
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,43,2,"43    GPE
Name: entity_type, dtype: object",16,102,"43    121
Name: sentence_position, dtype: int64","43    North Carolina
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,44,3,"44    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"44    121
Name: sentence_position, dtype: int64","44    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,45,4,"45    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"45    121
Name: sentence_position, dtype: int64","45    ro
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,46,5,"46    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"46    121
Name: sentence_position, dtype: int64","46    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,47,6,"47    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"47    121
Name: sentence_position, dtype: int64","47    ro
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,48,7,"48    DATE
Name: entity_type, dtype: object",16,102,"48    131
Name: sentence_position, dtype: int64","48    Friday, July 22, 2011
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,49,8,"49    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"49    131
Name: sentence_position, dtype: int64","49    ri
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,50,9,"50    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"50    131
Name: sentence_position, dtype: int64","50    ri
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,51,10,"51    PERSON
Name: entity_type, dtype: object",16,102,"51    142
Name: sentence_position, dtype: int64","51    CHRISTOPHER J. COOK
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,52,11,"52    LAW
Name: entity_type, dtype: object",16,102,"52    142
Name: sentence_position, dtype: int64","52    the Amended Notice of Deposition
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,53,12,"53    PERSON
Name: entity_type, dtype: object",16,102,"53    142
Name: sentence_position, dtype: int64","53    DEBRA D. BOWDEN
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,54,13,"54    PERSON
Name: entity_type, dtype: object",16,102,"54    142
Name: sentence_position, dtype: int64","54    Certified Realtime
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,55,14,"55    ORG
Name: entity_type, dtype: object",16,102,"55    142
Name: sentence_position, dtype: int64","55    Notary Public
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,56,15,"56    GPE
Name: entity_type, dtype: object",16,102,"56    142
Name: sentence_position, dtype: int64","56    North Carolina
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,57,16,"57    ORG
Name: entity_type, dtype: object",16,102,"57    142
Name: sentence_position, dtype: int64","57    the Law Offices
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,58,17,"58    ORG
Name: entity_type, dtype: object",16,102,"58    142
Name: sentence_position, dtype: int64","58    Womble Carlyle Sandridge & Rice
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,59,18,"59    ORDINAL
Name: entity_type, dtype: object",16,102,"59    142
Name: sentence_position, dtype: int64","59    4th
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,60,19,"60    GPE
Name: entity_type, dtype: object",16,102,"60    142
Name: sentence_position, dtype: int64","60    Winston
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,61,20,"61    GPE
Name: entity_type, dtype: object",16,102,"61    142
Name: sentence_position, dtype: int64","61    Salem
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,62,21,"62    GPE
Name: entity_type, dtype: object",16,102,"62    142
Name: sentence_position, dtype: int64","62    North Carolina
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,63,22,"63    TIME
Name: entity_type, dtype: object",16,102,"63    142
Name: sentence_position, dtype: int64","63    9:01 a.m.
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,64,23,"64    DATE
Name: entity_type, dtype: object",16,102,"64    142
Name: sentence_position, dtype: int64","64    Friday, July 22nd
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,66,24,"66    PERSON
Name: entity_type, dtype: object",16,102,"66    142
Name: sentence_position, dtype: int64","66    DEBRA D. BOWDEN
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,67,25,"67    ORG
Name: entity_type, dtype: object",16,102,"67    142
Name: sentence_position, dtype: int64","67    RMR
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,68,26,"68    ORG
Name: entity_type, dtype: object",16,102,"68    142
Name: sentence_position, dtype: int64","68    CRR
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,69,26,"69    ORG
Name: entity_type, dtype: object",16,102,"69    142
Name: sentence_position, dtype: int64","69    Plaintiffs:\n\nJim\
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,70,27,"70    CARDINAL
Name: entity_type, dtype: object",16,102,"70    142
Name: sentence_position, dtype: int64","70    4444
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,71,28,"71    PERSON
Name: entity_type, dtype: object",16,102,"71    142
Name: sentence_position, dtype: int64","71    E. SHIELDS
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,72,28,"72    ORG
Name: entity_type, dtype: object",16,102,"72    142
Name: sentence_position, dtype: int64","72    ESQUIRE\n\nDoffermyre Shields Canfield & Knowles
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,73,28,"73    ORG
Name: entity_type, dtype: object",16,102,"73    142
Name: sentence_position, dtype: int64","73    Peachtree Street\n\nSuite 1600\n\nAtlanta
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,74,29,"74    GPE
Name: entity_type, dtype: object",16,102,"74    142
Name: sentence_position, dtype: int64","74    Georgia
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,75,30,"75    PHONE_NUMBER
Name: entity_type, dtype: object",16,102,"75    142
Name: sentence_position, dtype: int64","75    444-1231
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,77,30,"77    PHONE_NUMBER
Name: entity_type, dtype: object",16,102,"77    142
Name: sentence_position, dtype: int64","77    444 1231
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,79,31,"79    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"79    142
Name: sentence_position, dtype: int64","79    r 
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,80,32,"80    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"80    142
Name: sentence_position, dtype: int64","80    r 
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,81,33,"81    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"81    142
Name: sentence_position, dtype: int64","81    rs
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,82,34,"82    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"82    142
Name: sentence_position, dtype: int64","82    rn
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,83,35,"83    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"83    142
Name: sentence_position, dtype: int64","83    re
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,84,36,"84    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"84    142
Name: sentence_position, dtype: int64","84    ri
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,85,37,"85    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"85    142
Name: sentence_position, dtype: int64","85    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,86,38,"86    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"86    142
Name: sentence_position, dtype: int64","86    r,
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,87,39,"87    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"87    142
Name: sentence_position, dtype: int64","87    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,88,40,"88    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"88    142
Name: sentence_position, dtype: int64","88    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,89,41,"89    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"89    142
Name: sentence_position, dtype: int64","89    r 
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,90,42,"90    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"90    142
Name: sentence_position, dtype: int64","90    ry
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,91,43,"91    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"91    142
Name: sentence_position, dtype: int64","91    r 
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,92,44,"92    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"92    142
Name: sentence_position, dtype: int64","92    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,93,45,"93    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"93    142
Name: sentence_position, dtype: int64","93    ro
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,94,46,"94    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"94    142
Name: sentence_position, dtype: int64","94    rl
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,95,47,"95    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"95    142
Name: sentence_position, dtype: int64","95    ri
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,96,48,"96    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"96    142
Name: sentence_position, dtype: int64","96    re
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,97,49,"97    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"97    142
Name: sentence_position, dtype: int64","97    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,98,50,"98    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"98    142
Name: sentence_position, dtype: int64","98    ro
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,99,51,"99    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"99    142
Name: sentence_position, dtype: int64","99    ri
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,100,52,"100    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"100    142
Name: sentence_position, dtype: int64","100    ro
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,101,53,"101    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"101    142
Name: sentence_position, dtype: int64","101    ra
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,102,54,"102    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"102    142
Name: sentence_position, dtype: int64","102    ri
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,103,55,"103    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"103    142
Name: sentence_position, dtype: int64","103    rs
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,104,56,"104    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"104    142
Name: sentence_position, dtype: int64","104    r.
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,105,57,"105    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"105    142
Name: sentence_position, dtype: int64","105    re
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,106,58,"106    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"106    142
Name: sentence_position, dtype: int64","106    rd
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,107,59,"107    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"107    142
Name: sentence_position, dtype: int64","107    r 
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,108,60,"108    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"108    142
Name: sentence_position, dtype: int64","108    rm
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,109,61,"109    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"109    142
Name: sentence_position, dtype: int64","109    re
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,110,62,"110    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"110    142
Name: sentence_position, dtype: int64","110    re
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,111,63,"111    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"111    142
Name: sentence_position, dtype: int64","111    re
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,112,64,"112    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"112    142
Name: sentence_position, dtype: int64","112    rg
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,113,65,"113    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"113    142
Name: sentence_position, dtype: int64","113    r 
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,114,66,"114    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"114    142
Name: sentence_position, dtype: int64","114    r 
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,115,67,"115    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"115    142
Name: sentence_position, dtype: int64","115    rs
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,116,68,"116    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"116    142
Name: sentence_position, dtype: int64","116    rn
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,117,69,"117    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"117    142
Name: sentence_position, dtype: int64","117    re
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,118,70,"118    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"118    142
Name: sentence_position, dtype: int64","118    ri
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,119,71,"119    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"119    142
Name: sentence_position, dtype: int64","119    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,120,72,"120    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"120    142
Name: sentence_position, dtype: int64","120    r 
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,121,73,"121    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"121    142
Name: sentence_position, dtype: int64","121    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,122,74,"122    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"122    142
Name: sentence_position, dtype: int64","122    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,123,75,"123    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"123    142
Name: sentence_position, dtype: int64","123    r 
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,124,76,"124    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"124    142
Name: sentence_position, dtype: int64","124    ry
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,125,77,"125    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"125    142
Name: sentence_position, dtype: int64","125    r 
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,126,78,"126    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"126    142
Name: sentence_position, dtype: int64","126    rt
Name: text_value, dtype: object"
[ 91.  55. 142.  15.  43.  37.  23. 197.],2,127,79,"127    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,102,"127    142
Name: sentence_position, dtype: int64","127    ro
Name: text_value, dtype: object"
