,end_position,entity_type,lefts,rights,start_position,subtree,text_value
51,1871,ORG,"[,, ESQUIRE, Terrell]","[), ,, Building]",1851,"[., ,, ESQUIRE, Terrell, Hogan, Ellis, Yegelwel, ), ,, P.A., 233, East, Bay, Street, Blaokstone, Building, ,, 8th, Floor, Jacksonville, ,, Florida, 32202\n\n(904]",Hogan Ellis Yegelwel
52,1877,GPE,[],[233],1873,"[P.A., 233]",P.A.
53,1881,CARDINAL,[],[],1878,[233],233
54,1890,LOC,[],[],1882,"[East, Bay]",East Bay
55,1922,ORDINAL,[],[],1919,[8th],8th
56,1941,GPE,[8th],"[,, Florida]",1923,"[8th, Floor, Jacksonville, ,, Florida, 32202\n\n(904]",Floor Jacksonville
57,1950,GPE,[],[32202\n\n(904],1943,"[Florida, 32202\n\n(904]",Florida
58,1969,CARDINAL,[],[],1966,[632],632
59,1987,CARDINAL,[],[],1984,[632],632
60,2045,PERSON,[],"[,, BLASINOAME, Street, behalf, ,, Sandridge]",1999,"[anderson@terrellhogan.com\n\nNORWOOD, S., WILNER, ,, ESQUIRE, JANNA, M., BLASINOAME, ,, ESQUIRE, Wilner, Hartley, &, Metcalf, ,, P.A., 444, E4, Duval, Street, ,, Third, Floor, Jacksonville, ,, Florida, 32202, (, 904, ), 446, -, 9817, nwilner@whmlegal.com\n\nOn, behalf, of, the, Defendant, R., J., Reynolds, Tobacco, Company:\n\nWILLIAM, E., LATHAM, ,, ESQUIRE, Womble, Carlyle, Sandridge, &, Rice, One, West, Fourth, Street, Winston, -, Salem, ,, North, Carolina, 27101, (, 336, ), 721, -, 3765, (, 336, ), 733, -, 8420]",anderson@terrellhogan.com\n\nNORWOOD S. WILNER
61,2074,PERSON,[],"[,, Hartley]",2047,"[ESQUIRE, JANNA, M., BLASINOAME, ,, ESQUIRE, Wilner, Hartley, &, Metcalf, ,]",ESQUIRE JANNA M. BLASINOAME
62,2108,ORG,[],"[,]",2076,"[ESQUIRE, Wilner, Hartley, &, Metcalf, ,]",ESQUIRE Wilner Hartley & Metcalf
63,2114,GPE,[],[],2110,[P.A.],P.A.
64,2118,CARDINAL,[],[],2115,[444],444
65,2134,FAC,[E4],"[,, Jacksonville, (]",2122,"[P.A., 444, E4, Duval, Street, ,, Third, Floor, Jacksonville, ,, Florida, 32202, (]",Duval Street
66,2141,ORDINAL,[],[],2136,[Third],Third
67,2160,GPE,[Third],"[,, Florida]",2142,"[Third, Floor, Jacksonville, ,, Florida, 32202]",Floor Jacksonville
68,2169,GPE,[],[32202],2162,"[Florida, 32202]",Florida
69,2175,CARDINAL,[],[],2170,[32202],32202
70,2180,CARDINAL,[],[)],2177,"[904, )]",904
71,2185,CARDINAL,[904],[],2182,"[904, ), 446]",446
72,2294,PERSON,"[the, Defendant]",[],2242,"[the, Defendant, R., J., Reynolds, Tobacco, Company:\n\nWILLIAM, E., LATHAM]",R. J. Reynolds Tobacco Company:\n\nWILLIAM E. LATHAM
73,2335,ORG,[],[Salem],2296,"[ESQUIRE, Womble, Carlyle, Sandridge, &, Rice, Rice, One, West, Fourth, Street, Winston, -, Salem, ,, North, Carolina, 27101, (, 336, ), 721, -, 3765, (, 336, ), 733, -, 8420]",ESQUIRE Womble Carlyle Sandridge & Rice
74,2351,ORDINAL,[],[],2345,[Fourth],Fourth
75,2372,GPE,"[Street, Winston, -]","[,, Carolina, (]",2367,"[Rice, One, West, Fourth, Street, Winston, -, Salem, ,, North, Carolina, 27101, (, 336, ), 721, -, 3765, (, 336, ), 733, -, 8420]",Salem
76,2388,GPE,[],[27101],2374,"[North, Carolina, 27101]",North Carolina
77,2394,CARDINAL,[],[],2389,[27101],27101
78,2399,CARDINAL,[],[],2396,[336],336
79,2409,CARDINAL,"[336, )]","[336, 8420]",2401,"[336, ), 721, -, 3765, (, 336, ), 733, -, 8420]",721-3765
80,2414,CARDINAL,[(],[)],2411,"[(, 336, )]",336
81,2419,CARDINAL,[],[],2416,[733],733
82,2453,ORG,[],[],2431,[wlatham@wcsr.com\n\nOn],wlatham@wcsr.com\n\nOn
83,2491,ORG,"[the, Defendant]","[,, USA, ,, REILLY]",2478,"[the, Defendant, Philip, Morris, ,, USA, ,, Inc.:\n\nKENNETH, J., REILLY, ,, ESQUIRE, Shook, ,, Hardy, &, Bacon, ,, L.L.P., 2400, Miami, Center, 201, S., Biscayne, Blvd]",Philip Morris
84,2496,GPE,[],[],2493,[USA],USA
85,2524,PERSON,[],"[,, Shook]",2498,"[Inc.:\n\nKENNETH, J., REILLY, ,, ESQUIRE, Shook, ,, Hardy, &, Bacon, ,, L.L.P., 2400, Miami, Center, 201, S., Biscayne, Blvd]",Inc.:\n\nKENNETH J. REILLY
86,2539,PRODUCT,[],"[,, Hardy]",2526,"[ESQUIRE, Shook, ,, Hardy, &, Bacon, ,, L.L.P., 2400, Miami, Center, 201, S., Biscayne, Blvd]",ESQUIRE Shook
87,2554,ORG,[],"[,, Center]",2541,"[Hardy, &, Bacon, ,, L.L.P., 2400, Miami, Center, 201, S., Biscayne, Blvd]",Hardy & Bacon
88,2567,CARDINAL,[],[],2563,[2400],2400
89,2580,FAC,[L.L.P.],[Blvd],2568,"[L.L.P., 2400, Miami, Center, 201, S., Biscayne, Blvd]",Miami Center
90,2584,CARDINAL,[],[],2581,[201],201
91,2601,PERSON,[201],[],2585,"[201, S., Biscayne, Blvd]",S. Biscayne Blvd
92,2608,GPE,[],"[,, Florida, 1305]",2603,"[Miami, ,, Florida, 20004, -, 1305]",Miami
93,2617,GPE,[],[20004],2610,"[Florida, 20004]",Florida
94,2628,DATE,[],[],2618,"[20004, -, 1305]",20004-1305
95,2633,CARDINAL,[(],"[), 358]",2630,"[(, 305, ), 358, -, 5171]",305
96,2638,CARDINAL,[],[5171],2635,"[358, -, 5171]",358
97,2648,CARDINAL,[(],"[), 7470]",2645,"[(, 305, ), 358, -, 7470]",305
98,2653,CARDINAL,[],[],2650,[358],358
99,2675,CARDINAL,[],[],2672,[279],279
100,2740,CARDINAL,[],[],2737,[490],490
101,2844,ORG,[],[],2841,[WWP],WWP
102,2931,CARDINAL,[],[],2929,[13],13
103,2940,DATE,[],[],2932,"[14, 15, 16]",14 15 16
104,2946,CARDINAL,[17],"[20, 22, 24]",2944,"[17, 18, 19, 20, 21, 22, 23, 24]",18
105,2949,CARDINAL,[],[],2947,[19],19
106,2952,CARDINAL,[19],[21],2950,"[19, 20, 21]",20
107,2961,CARDINAL,[],[],2959,[23],23
108,2964,CARDINAL,[23],[],2962,"[23, 24]",24
109,2975,CARDINAL,[],[],2965,[25\n\nPage],25\n\nPage
110,3011,PRODUCT,[25\n\nPage],[],2976,"[25\n\nPage, 266\n\nAPPEARANCES, CONTINUED:\n\nOn]",266\n\nAPPEARANCES CONTINUED:\n\nOn
111,3095,PERSON,[],"[,, Bacon, 6550, 5547, Fax]",3082,"[ESQUIRE, Shook, ,, Hardy, 6, Bacon, ,, L.L.P., 2555, Grand, Boulevard, Kansas, City, ,, Missouri, 64108, (, 816, ), 474, -, 6550, (, 816, ), 421, -, 5547, (, Fax, )]",ESQUIRE Shook
112,3110,PERSON,[],"[,, City, Missouri]",3097,"[Hardy, 6, Bacon, ,, L.L.P., 2555, Grand, Boulevard, Kansas, City, ,, Missouri, 64108, (, 816, )]",Hardy 6 Bacon
113,3123,CARDINAL,[L.L.P.],[],3119,"[L.L.P., 2555]",2555
114,3151,FAC,[2555],"[,]",3124,"[L.L.P., 2555, Grand, Boulevard, Kansas, City, ,]",Grand Boulevard Kansas City
115,3161,GPE,[],"[64108, (, 816, )]",3153,"[Missouri, 64108, (, 816, )]",Missouri
116,3167,DATE,[],[],3162,[64108],64108
117,3172,CARDINAL,[],[],3169,[816],816
118,3177,CARDINAL,[],[],3174,[474],474
119,3187,CARDINAL,[(],[)],3184,"[(, 816, )]",816
120,3192,CARDINAL,[],[],3189,[421],421
121,3286,CARDINAL,[],[],3268,[telephone)\n\nALSO],telephone)\n\nALSO
122,3305,GPE,[],[],3287,[PRESENT:\n\nLAUREN],PRESENT:\n\nLAUREN
123,3344,PERSON,[PRESENT:\n\nLAUREN],"[,, Videographer\n\n212, www, ,]",3306,"[PRESENT:\n\nLAUREN, CHANEY\n\nCHRISTA, PLETCHER\n\nROB, HAHN, ,, Videographer\n\n212, -, 279, -, 9424\n\nVERITEXT, REPORTING, COMPANY, www, ,]",CHANEY\n\nCHRISTA PLETCHER\n\nROB HAHN
124,3404,WORK_OF_ART,[],[],3346,"[Videographer\n\n212, -, 279, -, 9424\n\nVERITEXT, REPORTING, COMPANY]",Videographer\n\n212-279-9424\n\nVERITEXT REPORTING COMPANY
125,3561,DATE,[iiiwuiMWMfWtHP^inM\x0c\npgNbr=3\n\n\n1\n\n2\n\n3],[],3554,"[iiiwuiMWMfWtHP^inM\x0c\npgNbr=3\n\n\n1\n\n2\n\n3, 4, 5, 6, 7]",4 5 6 7
126,3580,CARDINAL,[],[],3572,[11\n\n12],11\n\n12
127,3589,CARDINAL,[],[],3581,[13\n\n14],13\n\n14
128,3619,CARDINAL,[],[],3599,[17\n\n18\n\n19\n\n20],17\n\n18\n\n19\n\n20
129,3702,CARDINAL,"[21\n\n22\n\n23\n\n24\n\n25\n\n\n\n\n\t""\n\n\n\n\tPage]",[],3674,"[21\n\n22\n\n23\n\n24\n\n25\n\n\n\n\n\t""\n\n\n\n\tPage, 267\n\n\n\tCONTENTS\n\n\nTHE]",267\n\n\n\tCONTENTS\n\n\nTHE
130,3723,ORG,[],[],3703,"[WITNESS,             ]",WITNESS             
131,3769,PERSON,[],[],3746,"[FOR\n\nCHRISTOPHER, JOHN]",FOR\n\nCHRISTOPHER JOHN
132,3826,PERSON,[Mr.],[],3801,"[Mr., Anderson\n\t\t271\n\n\nBy]",Anderson\n\t\t271\n\n\nBy
133,3856,PERSON,[Mr.],[-],3831,"[Mr., Wilner\n\t\t332\n\n\n\n\t, -]",Wilner\n\t\t332\n\n\n\n\t
134,4007,WORK_OF_ART,[Report],[],3959,"[MARKED\n\n\nNUMBER\n\n\n\tPAGE\n\nRJR-4041\n\t1958, Annual, Report, of\n\tThe, American\n\t271\n\n\n\tTobacco, Company]",of\n\tThe American\n\t271\n\n\n\tTobacco Company
135,4103,ORG,"[Bates\n\tRJR_000004041,\n\t001\n\n\n\tto]",[],4049,"[Bates\n\tRJR_000004041,\n\t001\n\n\n\tto, RJR_000004041.023\n\n\n\nRJR-799\n\t1959, Annual, Report]",RJR_000004041.023\n\n\n\nRJR-799\n\t1959 Annual Report
136,4152,MONEY,[Report],[],4104,"[Bates\n\tRJR_000004041,\n\t001\n\n\n\tto, RJR_000004041.023\n\n\n\nRJR-799\n\t1959, Annual, Report, of\n\tThe, American\n\t271\n\n\n\tTobacco, Company]",of\n\tThe American\n\t271\n\n\n\tTobacco Company
137,4244,DATE,[],[],4238,[Annual],Annual
138,4261,PERSON,[],[],4252,[of\n\tThe],of\n\tThe
139,4546,WORK_OF_ART,[Report],[],4400,"[American\n\t272\n\n\n\tTobacco, Company, Bates\n\tRJR_00000080C\n\t1.0001\n\n\n\tto, RJR_Q00000800.0028\n\n\n\nRJR-802\n\t1962, Annual, Report, of\n\tThe, American\n\t273\n\n\n\tTobacco, Company, Bates\n\tRJR_000000802.\n\t0001\n\n\n\tto, RJR_000000802.0027\n\n\n\nRJR-803\n\t1963, Annual, Report]",of\n\tThe American\n\t273\n\n\n\tTobacco Company Bates\n\tRJR_000000802.\n\t0001\n\n\n\tto RJR_000000802.0027\n\n\n\nRJR-803\n\t1963 Annual Report
140,4595,FAC,[],[],4557,"[American\n\t274\n\n\n\tTobacco, Company]",American\n\t274\n\n\n\tTobacco Company
141,4679,ORG,[],[],4596,"[Bates\n\tRJR_000000803.\n\t0001\n\n\n\tto, RJR_000000803.0027\n\n\n\nRJR-804\n\t1965]",Bates\n\tRJR_000000803.\n\t0001\n\n\n\tto RJR_000000803.0027\n\n\n\nRJR-804\n\t1965
142,4686,DATE,[],[],4680,[Annual],Annual
143,4826,WORK_OF_ART,[],[],4694,"[of\n\tThe, American\n\t274\n\n\n\tTobacco, Company, Bates\n\tRJR_000000804.\n\t0001\n\n\n\tto, RJR_000000804.0028\n\n\n\nRJR-805\n\t1966]",of\n\tThe American\n\t274\n\n\n\tTobacco Company Bates\n\tRJR_000000804.\n\t0001\n\n\n\tto RJR_000000804.0028\n\n\n\nRJR-805\n\t1966
144,4881,WORK_OF_ART,[Report],[],4841,"[Annual, Report, of\n\tThe, American\n\t275\n\n\n\tTobacco]",of\n\tThe American\n\t275\n\n\n\tTobacco
145,5078,WORK_OF_ART,[Report],"[RJR_000000806.0032\n\n\n\n212, -, COMPANY, www.veritext.com\n\n212-490-3430\n\nhsmimmaFmimmnft\n\n.........i]",4988,"[Company, Bates\n\tRJR_000000805.\n\t0001\n\n\n\tto, RJR_000000805.0031\n\n\n\nRJR-806\n\t1967, Annual, Report, of\n\tThe, American\n\t275\n\n\n\tTobacco, Company, Bates\n\tRJR_000000806.\n\t0001\n\n\n\tto, Company, Bates\n\tRJR_000000806.\n\t0001\n\n\n\tto, RJR_000000806.0032\n\n\n\n212, -, 279, -, 9424\n\nVERITEXT, REPORTING, COMPANY, www.veritext.com\n\n212-490-3430\n\nhsmimmaFmimmnft\n\n.........i]",of\n\tThe American\n\t275\n\n\n\tTobacco Company Bates\n\tRJR_000000806.\n\t0001\n\n\n\tto
146,5112,CARDINAL,[],[],5109,[279],279
147,5281,CARDINAL,[-a],[-],5270,"[), -a, oo\n\no\n\n, -]",oo\n\no\n\n
148,5314,ORG,"[a, o]",[],5286,"[a, o, ro\x0c\npgNbr=4\n1\n\n2\n\n3]",ro\x0c\npgNbr=4\n1\n\n2\n\n3
149,5321,CARDINAL,"[oo\n\no\n\n, ro\x0c\npgNbr=4\n1\n\n2\n\n3]",[],5315,"[), -a, oo\n\no\n\n, -, a, o, ro\x0c\npgNbr=4\n1\n\n2\n\n3, 4\n\n5]",4\n\n5
150,5328,CARDINAL,[],[],5322,[6\n\n7],6\n\n7
151,5477,DATE,[],[],5473,[1968],1968
152,5507,NORP,[],[   ],5499,"[American,    ]",American
153,5525,CARDINAL,[],[],5511,[276\n\nTobacco],276\n\nTobacco
154,5566,CARDINAL,[],[],5556,[0001\n\nto],0001\n\nto
155,5585,NORP,[],[   ],5567,"[RJR_000000806.0032,    ]",RJR_000000806.0032
156,5599,PERSON,[~],"[Letter, to, .]",5591,"[~, RJR-3159, 8/14/55, Letter, from, H., R., Hanmer, to,    , 276\n\nMrs, .]",RJR-3159
157,5632,PERSON,[],[],5620,"[H., R., Hanmer]",H. R. Hanmer
158,5649,CARDINAL,[],[],5639,[276\n\nMrs],276\n\nMrs
159,5671,PERSON,[],"[,, III, ,, Bates\n\nRJR_000003159.0001]",5651,"[Keith, Shipley, Sutton, ,, III, ,, Bates\n\nRJR_000003159.0001]",Keith Shipley Sutton
160,5705,GPE,[],[],5678,[Bates\n\nRJR_000003159.0001],Bates\n\nRJR_000003159.0001
161,5737,DATE,[to],[6/21/1956],5709,"[to, RJR_000003159.0002, RJR-401,  , 6/21/1956]",RJR_000003159.0002 RJR-401  
162,5776,ORG,[],[],5774,[  ],  
163,5869,PERSON,[],[],5841,"[RJR_000000401.0003, RJR-867,  ]",RJR_000000401.0003 RJR-867  
164,5889,WORK_OF_ART,[],[from],5869,"[3/5/62, Press, Release, from, The,                         , 278\n\nAmerican]",3/5/62 Press Release
165,6022,DATE,[],[],6014,[10/20/66],10/20/66
166,6064,CARDINAL,[],[],6053,[282\n\nfrom],282\n\nfrom
167,6078,PERSON,[282\n\nfrom],[to],6065,"[282\n\nfrom, J., V., Blalook, to, A., Y., Yeaman\n\nBates, RJR_000Q01032.0001]",J. V. Blalook
168,6160,PERSON,[],[],6123,"[to\n\nRJR_000001032.0002\n\nRJR-871,  ]",to\n\nRJR_000001032.0002\n\nRJR-871  
169,6198,ORG,[],[],6196,[  ],  
170,6201,CARDINAL,[],[],6198,[283],283
171,6226,ORG,"[In, 283]",[to],6202,"[In, Defense, of, Cigarettes,   , 283, Bates, RJR_000000871.0001, to, RJR_000000871.0003\n\nRJR-1134, 10/27/77, Pamphlet, -, Facts]",Bates RJR_000000871.0001
172,6269,CARDINAL,[],[],6261,[10/27/77],10/27/77
173,6357,PERSON,[],[to],6332,"[Bates, RJR__000001134.0001, to, RJR_000001134.0014\n\nRJR-3128, 4/10/58, Letter, from, Herbert, DeBaun,     , 292, Bryant, to, Brown, &, Williamson, Tobacco, Corporation]",Bates RJR__000001134.0001
174,6434,PERSON,[],[],6412,"[Herbert, DeBaun,     , 292]",Herbert DeBaun     292
175,6483,ORG,[292],[],6435,"[292, Bryant, to, Brown, &, Williamson, Tobacco, Corporation]",Bryant to Brown & Williamson Tobacco Corporation
176,6551,CARDINAL,[],[],6545,[8/5/63],8/5/63
177,6578,PERSON,[],[],6564,"[Addison, Yeaman]",Addison Yeaman
178,6584,ORG,[],[],6582,[  ],  
179,6588,DATE,[2],[],6586,"[2, 95]",95
180,6606,PERSON,[95],[],6589,"[2, 95, E., J., Jacob, Bates]",E. J. Jacob Bates
181,6668,GPE,[],[   ],6662,"[London,    ]",London
182,6675,CARDINAL,[],[],6672,[297],297
183,6700,PERSON,[Dr.],[],6685,"[Dr., Haselbach, Bates]",Haselbach Bates
184,6753,NORP,[],[],6723,[RJR_00OQO0678.0004\n\nRJR-3191],RJR_00OQO0678.0004\n\nRJR-3191
185,6788,PERSON,[],[],6774,"[Addison, Yeaman]",Addison Yeaman
186,6796,CARDINAL,[],[],6793,[300],300
187,6836,PERSON,[300],"[to, 000003191.0002]",6797,"[300, James, Johnston, Bates, RJR_000003191.0001, to, RJR, 000003191.0002,   ]",James Johnston Bates RJR_000003191.0001
188,6843,ORG,[],[],6840,[RJR],RJR
189,6873,CARDINAL,[],[],6870,[279],279
190,6976,PERSON,[~\n\n212],[],6909,"[~\n\n212, -, 279, -, 9424\n\nVERITEXT, REPORTING, COMPANY, www.veritext.com\n\n212-490-3430\n\nen\n\nCO\n\nO)\n\n4*\n\nCO\n\no]",www.veritext.com\n\n212-490-3430\n\nen\n\nCO\n\nO)\n\n4*\n\nCO\n\no
191,7019,CARDINAL,[],[],7004,[269\n\nEXHIBITS],269\n\nEXHIBITS
192,7082,PERSON,[],[],7060,"[Addison, Yeaman,        ]",Addison Yeaman        
193,7098,PERSON,[301\n\nfrom],"[at, to]",7094,"[301\n\nfrom, Jack, at, White, &, Case, Bates\n\nRJR_000003192;0001, to, RJR_000003192.0002]",Jack
194,7142,ORG,[],[],7102,"[White, &, Case, Bates\n\nRJR_000003192;0001]",White & Case Bates\n\nRJR_000003192;0001
195,7208,PERSON,[],[    ],7194,"[W., S., Cutchins,     ]",W. S. Cutchins
196,7222,ORG,[],[],7213,[308\n\nto],308\n\nto
197,7268,PERSON,[Dr.],[to],7227,"[Dr., James, Hundley, Bates\n\nRJR_000003194.0001, to, RJRJJ00003194.0002, RJR-3129, BAT, /, B&W, Cost, and, Risk, Pooling,                      , 313\n\nAgreement]",James Hundley Bates\n\nRJR_000003194.0001
198,7312,PERSON,[],"[and, 313\n\nAgreement]",7272,"[RJRJJ00003194.0002, RJR-3129, BAT, /, B&W, Cost, and, Risk, Pooling,                      , 313\n\nAgreement]",RJRJJ00003194.0002 RJR-3129 BAT/B&W Cost
199,7367,CARDINAL,"[Risk, Pooling]",[],7351,"[Risk, Pooling,                      , 313\n\nAgreement]",313\n\nAgreement
200,7373,PERSON,[],[],7368,[Bates],Bates
201,7393,CARDINAL,[],[],7387,[9.0001],9.0001
202,7427,ORG,[9.0001],[],7394,"[9.0001, to\n\nRJR_000003129.0010, RJR-3118]",to\n\nRJR_000003129.0010 RJR-3118
203,7462,PERSON,[],[],7448,"[Addison, Yeaman]",Addison Yeaman
204,7476,CARDINAL,[],[],7467,[313\n\nA.],313\n\nA.
205,7479,NORP,[313\n\nA.],[],7477,"[313\n\nA., D.]",D.
206,7495,PERSON,[],[],7480,"[McCormick, Bates]",McCormick Bates
207,7564,DATE,[],[],7560,[1967],1967
208,7583,ORG,[1967],[in],7565,"[1967, BAT, R&D, Conference, in,  ]",BAT R&D Conference
209,7601,CARDINAL,[],[],7588,[325\n\nCanada],325\n\nCanada
210,7625,PERSON,[],[],7602,"[Bates, RJR_000001528.001]",Bates RJR_000001528.001
211,7681,ORG,[A],"[on, .]",7661,"[RJR-3114, A, Tentative, Hypothesis, on, Nicotine,     , 328\n\nAddition, Bates, RJR__000003114, .]",Tentative Hypothesis
212,7693,PRODUCT,[],[    ],7685,"[Nicotine,     ]",Nicotine
