center,cluster,cluster_member,entity_type,number_of_clusters,number_of_members,text_value
[567.   6. 899.  15.  46.  47.  17. 207.],15,552,"552    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"552    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,554,"554    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"554    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,555,"555    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"555    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,556,"556    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"556    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,557,"557    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"557    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,558,"558    PERSON
Name: entity_type, dtype: object",16,42,"558    Patricia Bowman
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,559,"559    PERSON
Name: entity_type, dtype: object",16,42,"559    Robert Sury
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,561,"561    DATE
Name: entity_type, dtype: object",16,42,"561    July 22
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,564,"564    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"564    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,565,"565    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"565    rt
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,566,"566    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"566    ry
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,567,"567    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"567    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,568,"568    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"568    rt
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,569,"569    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"569    ry
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,573,"573    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"573    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,574,"574    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"574    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,575,"575    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"575    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,576,"576    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"576    r 
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,577,"577    PERSON
Name: entity_type, dtype: object",16,42,"577    Patricia Bowman
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,579,"579    DATE
Name: entity_type, dtype: object",16,42,"579    July 22
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,581,"581    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"581    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,582,"582    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"582    rt
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,583,"583    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"583    ry
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,584,"584    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"584    ri
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,585,"585    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"585    rt
Name: text_value, dtype: object"
[567.   6. 899.  15.  46.  47.  17. 207.],15,586,"586    SUSPICIOUS_NUMBER
Name: entity_type, dtype: object",16,42,"586    ry
Name: text_value, dtype: object"
